Name,Type,MotherName,FatherName,Sex,Gender,Sensory Radius,Move Speed,Hunger Speed,Thirst Speed,Grow Speed,Hunger Level,Thirst Level,Pregnancy,Diet,
a0,Herbivore,,,Female,0.49,18.61,48.33,2.99,1.18,0.64,0.51,0.18,0.94,0.15,
a1,Herbivore,,,Male,0.66,74.63,28.07,1.56,2.16,0.77,0.41,0.47,0.61,0.18,
a2,Herbivore,,,Female,0.09999999,10.09,11.35,2.63,2.15,2.49,0.33,0.52,1.74,0.09,
a3,Herbivore,,,Male,0.52,42.72,39.45,1.42,2.81,1.68,0.64,0.64,1.02,0.21,
a4,Herbivore,,,Female,0.46,86.83,21.93,2.34,1.14,1.13,0.57,0.37,1.76,0.17,
a5,Herbivore,,,Female,0.16,23.01,44.12,2.45,1.81,1.98,0.32,0.37,1.17,0.01,
a6,Herbivore,,,Male,0.52,78.53,45.19,1.58,1.69,1.38,0.24,0.19,1.22,0.21,
a7,Herbivore,,,Male,0.97,80.52,47.08,1.9,1.62,2.43,0.65,0.7,1.88,0.16,
a8,Herbivore,,,Female,0.19,68.68,23.22,2.08,1.84,0.94,0.45,0.31,1.54,0.19,
a9,Herbivore,,,Female,0.33,30.94,18.7,2.31,2.36,1.21,0.56,0.13,0.74,0.3,
a10,Herbivore,,,Male,0.7,77.2,30.61,2.31,2.93,1.06,0.52,0.25,0.93,0,
a11,Herbivore,,,Female,0.27,96.97,33.51,1.05,2.79,1.9,0.17,0.65,0.87,0.02,
a12,Herbivore,,,Male,0.63,39.16,48.73,1.07,1.84,0.64,0.68,0.58,1.14,0.3,
a13,Herbivore,,,Female,0.09,24.75,19.5,1.72,1.73,1.46,0.64,0.62,0.6,0.09,
a14,Herbivore,,,Female,0.07,76.73,33.35,1.2,2.39,1.25,0.49,0.23,1.81,0.28,
a15,Herbivore,,,Female,0.34,30.56,28.36,1.88,2.18,1.84,0.58,0.11,0.88,0.08,
a16,Herbivore,,,Male,0.71,70.08,22.17,2.19,2.96,2.96,0.11,0.19,1.61,0.18,
a17,Herbivore,,,Male,0.78,83.73,9.4,1.15,1.75,2.81,0.45,0.53,0.72,0.04,
a18,Herbivore,,,Female,0.26,31.15,19.55,2.29,1.62,2.88,0.23,0.4,1.64,0.19,
a19,Herbivore,,,Female,0.44,35.99,13.1,2.32,2.84,1.78,0.6,0.52,0.94,0.28,
a20,Herbivore,,,Male,0.72,66.24,29.43,2.52,1.76,0.5,0.28,0.11,1.01,0.08,
a21,Herbivore,,,Female,0.12,28.34,43.05,2.74,1.4,1.65,0.16,0.67,0.71,0.17,
